title,genres,pred_rating
"Mark of Zorro, The (1940)",Adventure,0.21383278
"Dog of Flanders, A (1999)",Drama,0.20526496
"Young Poisoner's Handbook, The (1995)",Crime,0.20447797
Big (1988),Comedy|Fantasy,0.20243502
"Natural, The (1984)",Drama,0.18222709
"Wisdom of Crocodiles, The (a.k.a. Immortality) (2000)",Romance|Thriller,0.17800581
Shall We Dance? (Shall We Dansu?) (1996),Comedy,0.17437057
"Return of Jafar, The (1993)",Animation|Children's|Musical,0.17421694
"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,0.16835333
"Gate, The (1987)",Horror,0.16763522
